	AN.387	AN.414	AN.451	AN.562	AN.596	AN.613	AN.624	AT.387	AT.414	AT.451	AT.562	AT.596	AT.613	AT.624	SN.327	SN.328	SN.349	SN.354	SN.405	SN.449	SN.450	SN.667	SN.679	ST.327	ST.328	ST.349	ST.354	ST.405	ST.449	ST.450	ST.667	ST.679
ENSG00000000003	479	1062	369	4217	689	963	595	1144	589	1639	1347	357	1540	1167	5674	3513	6042	4449	3667	9236	5262	7235	3220	1166	2175	2295	3130	787	3674	3185	1168	2321
ENSG00000000005	0	81	2	5	9	3	11	1	0	14	2	0	2	23	23	27	17	49	69	10	10	124	90	0	1	10	50	4	0	8	10	11
ENSG00000000419	308	1434	287	1142	1082	1429	344	787	2778	540	2067	2006	1820	407	1684	2020	3188	3214	1083	1550	2023	1701	1758	2675	1654	3084	4167	831	2927	2873	1068	910
ENSG00000000457	303	548	315	480	402	533	288	282	841	622	915	483	554	533	265	719	672	748	670	769	513	774	379	714	547	672	358	530	662	463	491	421
ENSG00000000460	211	502	242	227	247	473	209	296	2034	585	1084	1510	631	213	268	824	432	820	380	502	288	403	221	1447	598	914	1095	877	1282	824	768	592
ENSG00000000938	179	149	60	3	32	101	45	72	32	43	99	1	50	21	18	59	43	87	13	47	31	7	95	12	92	47	18	14	63	93	22	138
ENSG00000000971	8170	7278	10026	26148	14268	7822	6740	5165	2435	7997	12003	2257	4762	9392	23155	16828	20598	26827	16994	26929	27657	31089	16503	10786	7672	6928	2961	9309	6865	10795	5999	7847
ENSG00000001036	446	692	277	323	230	527	227	568	670	401	656	174	837	500	297	423	301	470	365	607	339	377	794	756	711	516	340	329	1115	342	526	1089
ENSG00000001084	405	1526	338	2451	664	895	490	1240	1161	1228	1407	1318	1972	610	5082	3378	4723	2467	2134	4428	3280	5685	1628	36375	7072	13284	1661	9647	17455	16090	6562	1760
ENSG00000001167	1062	785	635	969	668	968	592	1470	1301	1776	2036	1848	1954	432	885	2072	1292	2279	884	1309	1079	2292	752	1409	1850	1734	2356	901	1836	1610	994	2092
ENSG00000001460	201	328	122	184	94	147	141	187	29	140	83	137	210	71	737	335	679	296	312	425	440	488	237	161	200	225	203	118	143	217	128	256
ENSG00000001461	1283	1411	768	1516	812	1265	727	1072	247	596	838	338	1433	612	1744	1992	1626	2306	1590	2300	1349	2744	1217	842	1094	897	592	493	1033	893	602	1226
ENSG00000001497	579	262	459	617	377	494	418	412	779	643	604	743	590	401	438	1381	675	1048	619	1087	664	540	587	822	613	798	596	420	1207	859	407	959
ENSG00000001561	1226	3522	1105	3149	2942	4546	1015	948	2584	1203	1627	1682	3296	1229	4318	4165	5480	4519	3448	6642	4871	6196	5091	335	835	1974	126	103	628	1630	253	1065
ENSG00000001617	16	3	8	20	0	13	20	17	20	5	13	3	2	9	21	11	14	15	5	24	11	8	17	67	51	43	47	48	38	33	33	105
ENSG00000001626	730	2058	575	990	1176	3112	435	336	813	19	6747	6	124	2786	1426	916	1637	1060	646	1790	961	2211	2506	16	759	3175	15	112	231	868	48	1673
ENSG00000001629	1733	2657	1311	2193	2132	2764	1045	4721	2668	2476	3549	2608	4699	1657	2279	3749	3071	4542	2387	3733	2737	3227	2369	3347	3097	4348	4456	3034	5935	4503	4200	2824
ENSG00000001630	2	2	1	6	10	8	7	7	0	4	3	0	3	0	1	9	3	9	1	3	4	4	2	5	2	3	5	11	19	2	15	12
ENSG00000001631	1740	3975	2133	4426	2588	3954	1473	3080	2520	1701	3071	2176	3844	1576	4814	7024	4372	6651	3476	5724	4030	5471	3003	5537	4043	4134	4895	2921	7283	4584	5076	2437
ENSG00000002016	644	537	401	477	360	422	379	460	1340	267	663	394	236	289	519	703	601	441	463	699	443	506	293	529	712	696	425	170	648	561	249	217
ENSG00000002330	1	7	5	12	0	0	7	4	23	13	23	2	3	0	9	6	7	19	1	6	2	3	1	7	28	4	8	2	6	2	4	5
ENSG00000002549	1518	2337	1219	483	961	2168	743	2282	1166	2052	1791	439	2345	1256	1194	2111	1108	2308	998	1871	1345	1755	1346	1225	2078	2147	631	674	2873	3118	1611	3894
ENSG00000002586	1547	750	803	528	603	641	745	930	580	790	581	607	1001	379	630	1092	709	1134	473	1086	734	721	686	664	1227	816	984	1286	1926	2242	2049	2361
ENSG00000002587	48	105	70	385	108	223	80	47	341	185	710	923	218	579	924	533	1097	954	648	1168	944	832	464	316	245	156	264	111	359	146	183	192
ENSG00000002726	1	0	3	3	0	13	1	19	1	2	18	21	35	6	1	8	4	18	11	3	8	0	0	3	3	8	0	12	15	5	6	15
ENSG00000002745	4	1	7	15	5	11	10	27	322	6	21	95	84	9	24	65	20	45	18	2	7	0	21	4	92	21	49	15	137	26	11	1
ENSG00000002746	19	1	17	53	10	25	14	20	486	134	51	67	70	16	19	51	31	27	15	139	18	129	18	40	177	16	115	218	373	62	45	10
